Cumulative number of confirmed Ebola deaths,Senegal,20150305,0.0
Cumulative number of probable Ebola deaths,Senegal,20150305,0.0
Cumulative number of suspected Ebola deaths,Senegal,20150305,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Senegal,20150305,0.0
Cumulative number of confirmed Ebola deaths,Spain,20150305,0.0
Cumulative number of probable Ebola deaths,Spain,20150305,0.0
Cumulative number of suspected Ebola deaths,Spain,20150305,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Spain,20150305,0.0
Cumulative number of confirmed Ebola deaths,United States of America,20150305,1.0
Cumulative number of probable Ebola deaths,United States of America,20150305,0.0
Cumulative number of suspected Ebola deaths,United States of America,20150305,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,United States of America,20150305,1.0
Cumulative number of confirmed probable and suspected Ebola deaths,United Kingdom,20150304,0.0
Cumulative number of probable Ebola cases,United Kingdom,20150304,0.0
Cumulative number of suspected Ebola cases,United Kingdom,20150304,0.0
Cumulative number of confirmed Ebola cases,United Kingdom,20150304,1.0
Cumulative number of confirmed probable and suspected Ebola cases,United Kingdom,20150304,1.0
Cumulative number of confirmed Ebola cases,Mali,20150304,7.0
Cumulative number of probable Ebola cases,Mali,20150304,1.0
Cumulative number of suspected Ebola cases,Mali,20150304,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Mali,20150304,6.0
Cumulative number of confirmed probable and suspected Ebola cases,Mali,20150304,8.0
Cumulative number of confirmed Ebola cases,Nigeria,20150304,19.0
Cumulative number of probable Ebola cases,Nigeria,20150304,1.0
Cumulative number of suspected Ebola cases,Nigeria,20150304,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Nigeria,20150304,20.0
Cumulative number of confirmed Ebola cases,Senegal,20150304,1.0
Cumulative number of probable Ebola cases,Senegal,20150304,0.0
Cumulative number of suspected Ebola cases,Senegal,20150304,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Senegal,20150304,1.0
Cumulative number of confirmed Ebola cases,Spain,20150304,1.0
Cumulative number of probable Ebola cases,Spain,20150304,0.0
Cumulative number of suspected Ebola cases,Spain,20150304,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Spain,20150304,1.0
Cumulative number of confirmed Ebola cases,United States of America,20150304,4.0
Cumulative number of probable Ebola cases,United States of America,20150304,0.0
Cumulative number of suspected Ebola cases,United States of America,20150304,0.0
Cumulative number of confirmed probable and suspected Ebola cases,United States of America,20150304,4.0
Cumulative number of confirmed Ebola deaths,Nigeria,20150304,7.0
Cumulative number of probable Ebola deaths,Nigeria,20150304,1.0
Cumulative number of suspected Ebola deaths,Nigeria,20150304,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Nigeria,20150304,8.0
Cumulative number of confirmed Ebola deaths,Senegal,20150304,0.0
Cumulative number of probable Ebola deaths,Senegal,20150304,0.0
Cumulative number of suspected Ebola deaths,Senegal,20150304,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Senegal,20150304,0.0
Cumulative number of confirmed Ebola deaths,Spain,20150304,0.0
Cumulative number of probable Ebola deaths,Spain,20150304,0.0
Cumulative number of suspected Ebola deaths,Spain,20150304,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Spain,20150304,0.0
Cumulative number of confirmed Ebola deaths,United States of America,20150304,1.0
Cumulative number of probable Ebola deaths,United States of America,20150304,0.0
Cumulative number of suspected Ebola deaths,United States of America,20150304,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,United States of America,20150304,1.0
Cumulative number of confirmed probable and suspected Ebola cases,Guinea,20150304,3205.0
Cumulative number of confirmed Ebola cases,Guinea,20150304,2808.0
Cumulative number of probable Ebola cases,Guinea,20150304,392.0
Cumulative number of suspected Ebola cases,Guinea,20150304,5.0
Cumulative number of confirmed probable and suspected Ebola deaths,Guinea,20150304,2127.0
Cumulative number of confirmed Ebola deaths,Guinea,20150304,1735.0
Cumulative number of probable Ebola deaths,Guinea,20150304,392.0
Cumulative number of confirmed probable and suspected Ebola cases,Liberia,20150304,9265.0
Cumulative number of confirmed Ebola cases,Liberia,20150304,3153.0
Cumulative number of probable Ebola cases,Liberia,20150304,1888.0
Cumulative number of suspected Ebola cases,Liberia,20150304,4224.0
Cumulative number of confirmed probable and suspected Ebola deaths,Liberia,20150304,4057.0
Cumulative number of confirmed probable and suspected Ebola cases,Sierra Leone,20150304,11443.0
Cumulative number of confirmed Ebola cases,Sierra Leone,20150304,8353.0
Cumulative number of probable Ebola cases,Sierra Leone,20150304,287.0
Cumulative number of suspected Ebola cases,Sierra Leone,20150304,2803.0
Cumulative number of confirmed probable and suspected Ebola deaths,Sierra Leone,20150304,3530.0
Cumulative number of confirmed Ebola deaths,Sierra Leone,20150304,3164.0
Cumulative number of probable Ebola deaths,Sierra Leone,20150304,208.0
Cumulative number of suspected Ebola deaths,Sierra Leone,20150304,158.0
Cumulative number of confirmed Ebola cases,United Kingdom,20150302,1.0
Cumulative number of probable Ebola cases,United Kingdom,20150302,0.0
Cumulative number of suspected Ebola cases,United Kingdom,20150302,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,United Kingdom,20150302,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Guinea,20150302,3205.0
Cumulative number of confirmed Ebola cases,Guinea,20150302,2808.0
Cumulative number of probable Ebola cases,Guinea,20150302,392.0
Cumulative number of suspected Ebola cases,Guinea,20150302,5.0
Cumulative number of confirmed probable and suspected Ebola deaths,Guinea,20150302,2127.0
Cumulative number of confirmed Ebola deaths,Guinea,20150302,1735.0
Cumulative number of probable Ebola deaths,Guinea,20150302,392.0
Cumulative number of confirmed probable and suspected Ebola cases,Liberia,20150302,9265.0
Cumulative number of confirmed Ebola cases,Liberia,20150302,3153.0
Cumulative number of probable Ebola cases,Liberia,20150302,1888.0
Cumulative number of suspected Ebola cases,Liberia,20150302,4224.0
Cumulative number of confirmed probable and suspected Ebola deaths,Liberia,20150302,4057.0
Cumulative number of confirmed probable and suspected Ebola cases,Sierra Leone,20150302,11443.0
Cumulative number of confirmed Ebola cases,Sierra Leone,20150302,8353.0
Cumulative number of probable Ebola cases,Sierra Leone,20150302,287.0
Cumulative number of suspected Ebola cases,Sierra Leone,20150302,2803.0
Cumulative number of confirmed probable and suspected Ebola deaths,Sierra Leone,20150302,3530.0
